expressionRxns1,expressionRxns2,expressionRxns3
11.9571805925058,4.36924534206883,6.78968090327747
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
0.309167189634457,0,1.20522166550166
0.309167189634457,0,1.20522166550166
0.880791540895531,2.54266332825461,3.20819885359184
0.880791540895531,2.54266332825461,3.20819885359184
2.02605038340418,2.97688204454661,4.94151065181063
3.25300408270446,2.8976423807945,4.16043842170941
-1,-1,-1
13.0318801950366,12.9530609310797,12.0484703568524
3.71299889489542,3.95086699589509,2.63791191113517
6.33617766172799,5.16097759291104,4.78989342946093
4.81048902589421,7.36848157603037,4.59816195014017
4.73592466729404,4.36085459898263,4.25841887655943
2.16864806213183,4.36085459898263,3.62540929208472
4.73592466729404,4.36085459898263,4.25841887655943
2.16864806213183,4.36085459898263,3.62540929208472
-1,-1,-1
2.85319645241378,4.21981312521466,1.5655331370728
-1,-1,-1
-1,-1,-1
-1,-1,-1
3.99045487671241,3.53145385497883,2.80448322797399
3.71031064673943,2.87947894912024,3.75947317355285
7.39074972209547,7.44775811817564,3.77221459698557
-1,-1,-1
3.52448901705357,3.77921095439507,4.03929975634005
0.1991869354822,6.69478591764732,0.673945563785362
3.44504645741163,5.53059835400063,2.01018184693746
-1,-1,-1
0.1991869354822,6.69478591764732,0.673945563785362
8.4155606931597,4.90660793816692,1.58564350117775
4.73592466729404,4.36085459898263,4.25841887655943
4.73592466729404,4.36085459898263,4.25841887655943
4.73592466729404,4.36085459898263,4.25841887655943
8.4155606931597,4.90660793816692,1.58564350117775
3.44869397374146,4.94907891594156,5.79011995614649
4.90221209233363,3.29452711577421,2.63306414096256
-1,-1,-1
1.7138674614858,5.47872738481482,2.34920091844559
2.01711890649429,5.2028501097773,3.40443831500575
-1,-1,-1
-1,-1,-1
8.4155606931597,4.90660793816692,1.58564350117775
8.4155606931597,4.90660793816692,1.58564350117775
11.9571805925058,4.90660793816692,6.78968090327747
-1,-1,-1
-1,-1,-1
6.17310410609867,1.62127669267358,0.827252677887119
4.73592466729404,4.36085459898263,4.25841887655943
3.8117385445532,6.32328169795696,4.16043842170941
3.25300408270446,9.03946623175292,4.16043842170941
0.1991869354822,6.69478591764732,0.673945563785362
4.17961883667406,11.7172696489466,0.563622885500725
13.8511901205017,9.39326046461207,5.97097849184934
8.4155606931597,4.90660793816692,1.58564350117775
1.24297466976589,0.268778245216806,6.49079912988916
0.1991869354822,6.69478591764732,0.673945563785362
8.4155606931597,4.90660793816692,1.58564350117775
7.51847764962128,7.4511109563231,7.11929615579768
3.33643156581797,2.37385050838424,5.76678302178703
5.01385483903714,2.175559933697,2.7378298858858
5.01385483903714,2.175559933697,2.7378298858858
0.211439233360859,0.0567778249241897,0.120223726521578
0.211439233360859,0.0567778249241897,0.120223726521578
5.67388230738492,1.81350530292093,1.86579654739347
11.9571805925058,4.36924534206883,3.27827698242553
-1,-1,-1
3.52448901705357,3.77921095439507,3.06769439695048
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
0.984318316095995,6.07390346745968,1.72810470136487
-1,-1,-1
7.52569872516186,7.4776297589763,3.94383926216037
7.15677918413429,9.20219469156066,4.81036300951226
2.27789894077076,4.14285353956735,3.78734068555656
7.15677918413429,8.39002786705712,4.81036300951226
2.27789894077076,4.14285353956735,3.78734068555656
4.59167601203888,4.78640942492407,4.51008657427987
4.59167601203888,4.78640942492407,4.51008657427987
